Spalte1,Systemnummer,MMS-ID,Volltext,Barcode,VerfasserIn ; GND-ID,VerfasserIn Geschlecht,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere VerfasserInnen ; GND-ID,Weitere VerfasserInnen Geschlecht,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC09969390,AC09969390,"9,90031282690603E+017",http://data.onb.ac.at/ABO/%2BZ136457706,Z136457706,"Hornemann, Friedrich Konrad ; http://d-nb.info/gnd/118707094",m,,,"<<Fr. Hornemann's>> Tagebuch seiner Reise von Cairo nach Murzuck der Hauptstadt des Königreichs Fessan in Afrika in den Jahren 1797 und 1798 $ Aus der teutschen Handschrift desselben herausgegeben von Carl König, Mitgliede der Linnäischen Societät zu London und der phitographischen Gesellschaft zu Göttingen. Mit zwei Charten",,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des H. S. privil.  Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1802,1802,"XXVIII, 224 Seiten, 2 ungezählte mehrfach gefaltete Blätter Karten","1 Illustration, 3 Karten",1,3,8°,2 Kupferstich-Karten (von James Rennell) ; 1 Holzschnitt-Karte ; 1 Holzschnitt-Plan,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Kainbacher, Entdeckeung Afrikas, S. 209. - Auch als Band der Reihe ""Bibliothek der neuesten und wichtigsten Reisbeschreibungen, Bd. 7"" erschienen","Seite [III]: Widmung des Verfassers an Johann Friedrich Bluembach. - Seite [IV]-XVIII: Vorrede des Herausgebers Carl König. - Seite XIX-XXVIII: Einleitung von Herrn William Young, Sekretär der Afrikanischen Gesellschaft",,ger,,,,,,"König, Karl",,"Young, William",,,,"Blumenbach, Johann Friedrich ; http://d-nb.info/gnd/116208503",Reisebericht ; Tagebuch,,,Forschungsreise ; Geschichte 1797-1798 ; Ägypten ; Fessan ; Osmanisches Reich,TravelogueD19 Afrika ; TravelogueD19 Orient,,2.V.21 PRUNK,ZALT,
AC03115112,AC03115112,"9,90004457180603E+017",http://data.onb.ac.at/ABO/%2BZ42125201,Z42125201,"Jackson, John ; http://d-nb.info/gnd/100288332",m,Journey from India towards England in the year 1797,Bibliothek der neuesten und interessantesten Reisebeschreibungen ; Siebenzehnter Band .- Archiv der neuesten und interessantesten Reisebeschreibungen ; Fünfter Band,"<<John Jackson's, Esq.>> Landreise aus Ostindien nach Europa, $ unternommen im Jahre 1797 auf einem wenig besuchten und wenig bekannten Wege, durch die asiatische und europäische Türkey, Siebenbürgen, Ungarn und Teutschland . Auszugsweise aus dem Englischen übersetzt. Mit einer Karte. L. Degrandprés Reise nach der westlichen Küste von Afrika, oder dem Königreiche Loango, in den Jahren 1786 und 1787. Aus dem Französischen übersetzt und mit Anmerkungen versehen von M. C. Sprengel. Mit 4 Kupfern und 1 Karte",,,Berlin und Hamburg [das heißt Wien?],Wien ; http://d-nb.info/gnd/4066009-6,,,,,1804,1804,"7 ungezählte Seiten, X, 300 Seiten, 4 ungezählte Blätter Bildtafeln, 2 ungezählte gefaltete Blätter Karten","4 Illustrationen, 2 Karten",4,2,8°,4 Kupferstichillustrationen und 2 gestochene Karten. - Fußnoten,"Bibliografischer Nachweis: NUCPRE56, 274/681; Fromm, 11533 ; Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0473. - Verlagsort gemäß BRE Wien",Seite [III]-X: Vorbericht des Übersetzers T. F. Ehrmann,,ger,eng ; fre,Aus dem Englischen und Französischen übersetzt,,"Grandpré, Louis <<de>> ; http://d-nb.info/gnd/11755345X",m,,"Ehrmann, Theophil Friedrich ; http://d-nb.info/gnd/115368337","Sprengel, Matthias Christian ; http://d-nb.info/gnd/117486701",,"Withalm, Andreas ; http://d-nb.info/gnd/130493414",,,Reisebericht,,"Grandpré, Louis <<de>> ; Voyage à la còte occidentale d'Afrique fait dans les années 1786 et 1787","Reise ; Indien ; Naher Osten ; Geschichte 1797 ; Iran ; Osmanisches Reich ; Reise ; Afrika ; Westküste ; Geschichte 1786-1787 ; Grandpré, Louis <<de>>",TravelogueD19 Asien Europa Afrika ; TravelogueD19 Orient,,681059-B.17 MAG .- UNASSIGNED .- UNASSIGNED,ZKAR ; ZKAR ; ZKAR,
AC10030913,AC10030913,"9,90031910340603E+017",http://data.onb.ac.at/ABO/%2BZ160634503,Z160634503,"Kotzebue, Moritz <<von>> ; http://d-nb.info/gnd/116345322",m,Reise nach Persien mit der Russisch-kaiserlichen Gesandtschaft im Jahre 1817,,"<<Moritz v. Kotzebue's Russisch=Kaiserlichen Hauptmanns im General=Stabe, Ritters des Wladimir=wie auch des Persischen Sonnen= und Löwenordens>> Reise nach Persien mit der Russisch Kais. Gesandtschaft im Jahre 1817 $ Mit neun ausgemahlten und schwarzen Kupfertafeln",,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,Jn der Hoffmannischen Hofbuchhandlung ; gedruckt bei Friedrich. Albrecht,Hoffmann's Buchhandlung ; http://d-nb.info/gnd/7559929-6,"Albrecht, Christian Friedrich Heinrich ; http://d-nb.info/gnd/103749864X",1819,1819,"195 Seiten, 2 ungezählte Seiten, 9 ungezählte gefaltete Blätter Bildtafeln",9 Illustrationen,9,,8°,Die Illustrationen sind 9 Kupferstichillustrationen (gezeichnet und signiert von P. Skerl),Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Seite [V]: Widmung des Verfassers an General von Jermolov. - Seite [VII]-VIII: Vorrede des Verfasser, Datum Weimar 04.1818. - Am Ende eine ungezählte Seite Verlagsanzeige",,ger,,,,,,,,,,"Skerl, Paul Anton ; http://d-nb.info/gnd/11742000X",,"Ermolov, Aleksej Petrovič ; http://d-nb.info/gnd/121276775",Reisebericht,,,Iran ; Reise ; Geschichte 1817 ; Gesandtschaft,TravelogueD19 Asien ; TravelogueD19 Orient,,23.L.31 PRUNK,ZALT,
AC10030914,AC10030914,"9,90031910350603E+017",http://data.onb.ac.at/ABO/%2BZ177844205,Z177844205,"Kotzebue, Moritz <<von>> ; http://d-nb.info/gnd/116345322",m,Reise nach Persien mit der Russisch-kaiserlichen Gesandtschaft im Jahre 1817,,"<<Moritz v. Kotzebues's Russisch=Kaiserlichen Hauptmanns im General=Stabe, Ritters des Wladimir, wie auch des Persischen Sonnen= und Löwnordens>> Reise nach Persien mit der Russisch Kaiserl. Gesandtschaft im Jahre 1817",,,Brünn,Brünn ; http://d-nb.info/gnd/4008456-5,Brünn ; http://d-nb.info/gnd/4008456-5,Bei Jos. Georg Traßler,"Traßler, Joseph Georg ; http://d-nb.info/gnd/129262358","Traßler, Joseph Georg ; http://d-nb.info/gnd/129262358",1820,1820,"4 ungezählte Seiten, 216 Seiten",,,,8°,Kein illustrierender Inhalt,,,,ger,,,,,,,,,,,,,Reisebericht,,,Iran ; Reise ; Geschichte 1817 ; Gesandtschaft,TravelogueD19 Asien ; TravelogueD19 Orient,,44.Q.121 PRUNK,ZALT,
AC10057596,AC10057596,"9,90032182130603E+017",http://data.onb.ac.at/ABO/%2BZ176592701;,Z176592701;,"Le Chevalier, Jean-Baptiste ; http://d-nb.info/gnd/116850493",m,Voyage dans la Troade ; 1799,,Reise nach Troas oder Gemählde der Ebene von Troja in ihrem gegenwärtigen Zustande $ vom Bürger Lechevalier. Nach dem Französischen der zweyten Ausgabe frey bearbeitet von C. G. Lenz Professor am Gymnasium zu Gotha. Mit VIII. Kupfern und 1. Charte,,,Altenburg und Erfurt,Altenburg ; http://d-nb.info/gnd/4001409-5 .- Erfurt ; http://d-nb.info/gnd/4015240-6,,bey Rinck und Schnuphase,Schnuphasesche Buchhandlung ; http://d-nb.info/gnd/6145942-2,,1800,1800,"16 ungezählte Seiten, 271 Seiten, 1 ungezähltes Blatt Bildtafel, 7 Blätter Bildtafeln",11 Illustrationen,11,,8°,"Die Illustrationen sind 1 Kupferstich-Illustration als Frontispiz (gezeichnte von E. Welzer, gestochen von Schule, Datum 1799), 3 Holzschnitt-Illustrationen im Text, 7 Kupferstich-Illustrationen (teilweise gestochen und signiert von Grünler). - Fußnoten","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Chatzipanagioti-Sangmeister, 0536","Seite [I]-[IX]: Widmung des Bearbeiter und Herausgebers C. G. Lenz an Johann David Åkerblad, Datum Gotha 10.04.1800",,ger,fre,Aus dem Französischen übersetzt,,,,"Lenz, Karl Gotthold ; http://d-nb.info/gnd/116915188","Lenz, Karl Gotthold ; http://d-nb.info/gnd/116915188","Åkerblad, Johan David ; http://d-nb.info/gnd/116274778 .- Helvig, Carl <<von>> ; http://d-nb.info/gnd/119112647 .- Dalzel, Andrew ; http://d-nb.info/gnd/1024389235",,"Schule, Georg Christian ; http://d-nb.info/gnd/133115283 .- Grünler, Karl Heinrich ; http://d-nb.info/gnd/136146414 .- Welzer, E.","Lenz, Karl Gotthold ; http://d-nb.info/gnd/116915188","Åkerblad, Johan David ; http://d-nb.info/gnd/116274778",Reisebericht,,,Forschungsreise ; Troja ; Anatolien ; Geschichte 1792-1797 ; Osmanisches Reich ; Orient,TravelogueD19 Asien ; TravelogueD19 Orient,,MF 3475 MIK .- 47.J.40 PRUNK .- 269219-B MAG,ZNEU ; ZALT ; ZFID,
,,,http://data.onb.ac.at/ABO/%2BZ157309105,Z157309105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC08577073,AC08577073,"9,95859407620333E+015",http://www.mdz-nbn-resolving.de/urn/resolver.pl?urn=urn:nbn:de:bvb:12-bsb10467295-3;,resolver.pl?urn=urn:nbn:de:bvb:12-bsb10467295-3;,"Le Chevalier, Jean-Baptiste ; http://d-nb.info/gnd/116850493",m,Voyage de la Propontide et du Pont-Euxin ; 1800 ; http://viaf.org/viaf/4894147270697635700002,,"Reise durch den Propontis und Pontus=Euxinus $ von J. B. Lechevalier, Mitgliede der freien Gesellschaft der Wissenschaften und Künste zu Paris, der Akademie zu Göttingen, Cassel und Madrid. Aus dem Französischen übersetzt. Mit 6 Charten",,,Liegnitz und Leipzig,Liegnitz ; http://d-nb.info/gnd/4035683-8 .- Leipzig ; http://d-nb.info/gnd/4035206-7,Leipzig ; http://d-nb.info/gnd/4035206-7,bei David Siegert,Siegert ; http://d-nb.info/gnd/1090736797,Siegert ; http://d-nb.info/gnd/1090736797,1801,1801,"XIV, 222 Seiten, 1 ungezählte Seite, 6 ungezählte gefaltete Blätter Karten",6 Karten,,6,8°,6 gestochene Karten. - Zierleisten ; Fußnoten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 292 ; Chatzipanagioti-Sangmeister, 0540",Seite [III]-VIII: Vorrede des Übersetzers,,ger,fre,Aus dem Französischen übersetzt,urn:nbn:de:bvb:12-bsb10467295-3,,,,,,,,,,Reisebericht,,,Reise ; Schwarzes Meer ; Osmanisches Reich ; Konstantinopel ; Ägäis ; Geschichte 1785-1787,TravelogueD19 Asien Europa ; TravelogueD19 Orient,,MF 3474.Text MIK .- 45.G.2 PRUNK .- 45.Q.2 PRUNK,ZNEU ; ZALT ; ZALT,urn:nbn:de:bvb:12-bsb10467295-3
,,,http://data.onb.ac.at/ABO/%2BZ176653003,Z176653003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AC10059129,AC10059129,"9,90032197780603E+017",http://data.onb.ac.at/ABO/%2BZ171865806,Z171865806,"Legh, Thomas ; http://d-nb.info/gnd/142994944",m,Narrative of a journey in Egypt ; 1816,,Reise durch Aegypten und in das Land oberhalb der Katarakten $ von Thom. Legh Esq.,,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des Gr. H. S. pr. Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1818,1818,"VIII, 152 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,8°,1 gestochene Karte,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Kainbacher, Erforschung Afrikas, S. 270 . - Auch als Teil der Reihe: ""Bibliothek der wichtigsten Reisebeschreibungen und geographischen Nachrichten der Erd- und Völkerkunde""",Seite [III]-VI: Vorrede des Verfassers,,ger,eng,Aus dem Englischen übersetzt,,,,,,,,,,,Reisebericht,,,Ägypten ; Forschungsreise ; Geschichte 1813 circa ; Osmanisches Reich,TravelogueD19 Afrika ; TravelogueD19 Orient,,41.J.16 PRUNK,ZALT,
AC09699611,AC09699611,"9,90028522710603E+017",,,"Mayer, Luigi ; http://d-nb.info/gnd/118579592",m,,,"Ansichten von der Türkei hauptsächlich von Caramanien, $ einem bisher wenig bekannten Theile von Kleinasien. Nebst einer Auswahl merkwürdiger Ansichten von den Inseln Rhodus und Cypern und den einst berühmten Städten Corinth, Carthago und Tripoli, $ nach den Originalzeichungen des Herrn Ludwig Mayer; mit Erläuterungen von J. A. Bergk Doctor beider Rechte und der Philosophie. Mit zwanzig Kupfern",,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,Baumgärtnersche Buchhandlung,Baumgärtnersche Buchhandlung ; http://d-nb.info/gnd/5350738-1,,1812,1812,"21 Seiten, 20 Blätter Bildtafeln",20 Illustrationen,20,,2°,"20 Kupferstich-Illustrationen nach Zeichnungen von Ludwig Mayer, gestochen von Boettger","Bibliografischer Nachweis: Chatzipanagioti-Sangmeister, 0626 ; Bibliografie Reiseliteratur Eutin",,,ger,,,,"Bergk, Johann Adam ; http://d-nb.info/gnd/116132655",m,,,,,,,,,,,Provinz Karaman ; Vedute ; Türkei ; Vedute ; Osmanisches Reich,TravelogueD19 Asien ; TravelogueD19 Orient,,80.P.1 PRUNK,ZALT,
AC14501703,AC14501703,"9,90057734060603E+017",http://data.onb.ac.at/ABO/%2BZ26009340X,Z26009340X,"Mayr, Johann Heinrich ; http://d-nb.info/gnd/143535269",m,Schicksale eines Schweizers während seiner Reise nach Jerusalem und dem Libanon,,Schicksale eines Schweizers während seiner Reise nach Jerusalem und dem Libanon $ Von ihm selbst geschrieben [das heißt Johann Heinrich Mayr],Erstes Bändchen ; Erstes und zweytes Buch,,St. Gallen,Sankt Gallen ; http://d-nb.info/gnd/4051594-1,,Bey Huber und Compagnie,Huber und Compagnie ; http://d-nb.info/gnd/6147590-7,,1815,1815,"XII, 212 Seiten, 2 ungezählte Seiten",,,,8°,Kein illustrierender Inhalt,"Bibliografischer Nachweis: KVK. - Anonym erschienen, Verfasser nach Altem Zettelkatalog","Seite [III]-IV: Vorrede des Verfassers, Datum Arbon 1814",,ger,,,,,,,,,,,,,Reisebericht,,,Palästina ; Reise ; Geschichte 1814 circa ; Naher Osten ; Jerusalem ; Ägypten ; Osmanisches Reich ; Orient,TravelogueD19 Asien Europa Afrika ; TravelogueD19 Orient,,543806-B.1 MAG,ZKAR,
AC14501705,AC14501705,"9,90057734070603E+017",http://data.onb.ac.at/ABO/%2BZ260093502,Z260093502,"Mayr, Johann Heinrich ; http://d-nb.info/gnd/143535269",m,Schicksale eines Schweizers während seiner Reise nach Jerusalem und dem Libanon,,Schicksale eines Schweizers während seiner Reise nach Jerusalem und dem Libanon $ Von ihm selbst geschrieben [das heißt Johann Heinrich Mayr],Zweytes Bändchen = Drittes und viertes Buch ; Mit einer Ansicht von Jerusalem,,St. Gallen,Sankt Gallen ; http://d-nb.info/gnd/4051594-1,,Bey Huber und Compagnie,Huber und Compagnie ; http://d-nb.info/gnd/6147590-7,,1815,1815,"244 Seiten, 1 ungezähltes Blatt Bildtafel",1 Illustration,1,,8°,"Die Illustration ist eine Illustration in Aquatinta als Frontispiz (gezeichnet von J. H. Mayr, radiert von F. Hegi). - Fußnoten","Bibliografischer Nachweis: KVK . - Anonym erschienen, Verfasser nach Altem Zettelkatalog",,,ger,,,,,,,,,,"Hegi, Franz ; http://d-nb.info/gnd/118702742",,,Reisebericht,,,Palästina ; Reise ; Geschichte 1814 circa ; Naher Osten ; Jerusalem ; Ägypten ; Osmanisches Reich ; Orient,TravelogueD19 Asien ; TravelogueD19 Orient,,543806-B.2 MAG,ZKAR,
AC14501706,AC14501706,"9,90057734080603E+017",http://data.onb.ac.at/ABO/%2BZ260093605,Z260093605,"Mayr, Johann Heinrich ; http://d-nb.info/gnd/143535269",m,Schicksale eines Schweizers während seiner Reise nach Jerusalem und dem Libanon,,Schicksale eines Schweizers während seiner Reise nach Jerusalem und dem Libanon $ Von ihm selbst geschrieben [das heißt Johann Heinrich Mayr],Drittes Bändchen = Fünftes und sechstes Buch ; Mit 3 Kupfern,,St. Gallen,Sankt Gallen ; http://d-nb.info/gnd/4051594-1,,Bey Huber und Compagnie,Huber und Compagnie ; http://d-nb.info/gnd/6147590-7,,1815,1815,"1 ungezähltes Blatt Bildtafel, XVIII, 232 Seiten, 1 ungezählte Seite, 2 ungezähltes gefaltetes Blatt Bildtafel",3 Illustrationen,3,,8°,"1 Illustration in Aquatinta als Frontispiz (gezeichnet von J. Mayr, radiert von F. Hegi), 2 Illustrationen in Aquatinta (radiert von F. Hegi). - Fußnoten",,,,ger,,,,,,,,,,"Hegi, Franz ; http://d-nb.info/gnd/118702742",,,Reisebericht,,,Palästina ; Reise ; Geschichte 1814 circa ; Naher Osten ; Jerusalem ; Ägypten ; Osmanisches Reich ; Orient,TravelogueD19 Asien Europa ; TravelogueD19 Orient,,543806-B.3 MAG,ZKAR,
AC10109932,AC10109932,"9,90032717130603E+017",http://data.onb.ac.at/ABO/%2BZ165668102,Z165668102,"Mayr, Johann Heinrich ; http://d-nb.info/gnd/143535269",m,Schicksale eines Schweizers während seiner Reise nach Jerusalem und dem Libanon,,"<<Johann Heinrich Mayr's>> Reise nach Konstantinopel, Aegypten, Jerusalem und auf den Libanon $ Herausgegeben von Johann Conrad Appenzeller",,Zweyte verbesserte Auflage. Mit vier Kupfern,St. Gallen,Sankt Gallen ; http://d-nb.info/gnd/4051594-1,,Bey Huber und Compagnie,Huber und Compagnie ; http://d-nb.info/gnd/6147590-7,,1820,1820,"XIV Seiten, 2 ungezählten Seiten, 576 Seiten, 4 ungezählte Blätter Bildtafeln",4 Illustrationen,4,,8°,"4 Illustrationen (Aquatinta-Radierungen, gezeichnet von J. H. Mayr, gestochen und signiert von F. Hegi). - Fußnoten",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Seite [III]-IV: Vorrede des Verfassers, Datum 1814. - Seite V-XII: Vorrede (""Rechenschaft"") von J. C. Appenzeller, Datum Arbon 1815. - Seite XIII-XIV: Vorrede zu zweyten Ausgabe von J. C. Appenzeller, Datum Gaiß 12.07.1820",,ger,,,,,,,,,,"Hegi, Franz ; http://d-nb.info/gnd/118702742",,,Reisebericht,,,Orient ; Reise ; Geschichte 1814 circa ; Naher Osten ; Osmanisches Reich,TravelogueD19 Europa Asien ; TravelogueD19 Orient,,43.T.25 PRUNK,ZALT,
AC08433051,AC08433051,"9,95873457810333E+015",http://data.onb.ac.at/ABO/%2BZ185801604,Z185801604,"Morier, James Justinian ; http://d-nb.info/gnd/115342419",m,"Second journey through Persia, Armenia, and Asia Minor to Constantinople, between the years 1810 and 1816","Neue Bibliothek der wichtigsten Reisebeschreibungen zur Erweiterung der Erd- und Völkerkunde ; Zweiter Band, Zweiter Theil","<<Jacob Morier's>> zweite Reise durch Persien, Armenien und Kleinasien nach Constantinopel, in den Jahren 1810 bis 1816 $ Jacob Morier. Aus dem Englischen",,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des Gr. H. S.  priv. Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1820,1820,"X, 454 Seiten",,,,8°,Kein illustrierender Inhalt. - Fußnoten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Embacher, 212",,,ger,eng,Aus dem Englischen übersetzt,,,,,,,,,,,Reisebericht,,,Naher Osten ; Reise ; Geschichte 1810-1816 ; Iran ; Armenien ; Anatolien ; Konstantinopel ; Osmanisches Reich,TravelogueD19 Asien ; TravelogueD19 Orient,,BE.1.Z.32 PRUNK,ZALT,
AC08426287,AC08426287,"9,95872216260333E+015",http://data.onb.ac.at/ABO/%2BZ119559708,Z119559708,"Mountnorris, George Annesley ; http://d-nb.info/gnd/123087392",m,"Voyages and travels to India, Ceylon, the Red Sea, Abyssinia and Egypt ; 1809",Bibliothek der neuesten und wichtigsten Reisebeschreibungen zur Erweiterung der Erdkunde ; Vier und vierzigster Band,"<<Georg Viscount Valentia's und Heinrich Salt's>> Reisen nach Indien, Ceylon, dem rothen Meere, Abyssinien und Aegypten $ in den Jahren 1802, 1803, 1804, 1805 u. 1806 $ Aus dem Englischen im Auszuge übersetzt und mit einigen Anmerkungen begleitet von Friedrich Rühs",Erster Theil,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Geographisches Institut zu Weimar ; http://d-nb.info/gnd/1055521-3 .- Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1811,1811,"X, 622 Seiten",,,,8°,Kein illustrierender Inhalt,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,Seite [V]-VI: Vorrede des Übersetzers Rühs,,ger,eng,Aus dem Englischen übersetzt,,"Salt, Henry ; http://d-nb.info/gnd/117618179",m,,"Rühs, Friedrich ; http://d-nb.info/gnd/104359714",,,,,,Reisebericht,,,Reise ; Indien ; Sri Lanka ; Ägypten ; Äthiopien ; Geschichte 1802-1806,TravelogueD19 Asien Afrika ; TravelogueD19 Orient,,2.Y.5.(Vol.1) PRUNK .- UNASSIGNED,ZALT ; ZKAR,
AC15247369,AC15247369,"9,95853005860333E+015",http://data.onb.ac.at/ABO/%2BZ119559800,Z119559800,"Mountnorris, George Annesley ; http://d-nb.info/gnd/123087392",m,"Voyages and travels to India, Ceylon, the Red Sea, Abyssinia and Egypt ; 1809",Bibliothek der neuesten und wichtigsten Reisebeschreibungen zur Erweiterung der Erdkunde ; Fünf und vierzigster Band,"<<Georg Viscount Valentia's und Heinrich Salt's>> Reisen nach Jndien, Ceylon, dem rothen Meere, Abyssinien und Aegypten in den Jahre 1802, 1803, 1804, 1805 u. 1806 $ Aus dem Englischen im Auszuge übersetzt und mit einigen Anmerkungen begleitet von Friedrich Rühs",Zweiter Theil ; Mit einer Charte vom rothen Meere,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des Landes=Jndustrie=Comptoir,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1811,1811,"6 ungezählte Seiten, 706 Seiten, 2 ungezählte gefaltete Blätter Karten",2 Karten,,2,8°,2 Kupferstich-Karten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 102",,,ger,eng,Aus dem Englischen übersetzt,,"Salt, Henry ; http://d-nb.info/gnd/117618179",m,,"Rühs, Friedrich ; http://d-nb.info/gnd/104359714",,,,,,Reisebericht,,,Reise ; Indien ; Sri Lanka ; Ägypten ; Äthiopien ; Geschichte 1802-1806,TravelogueD19 Asien Afrika ; TravelogueD19 Orient,,2.Y.5.(Vol.2) PRUNK .- UNASSIGNED,ZALT ; ZKAR,
AC11590092,AC11590092,"9,90044968360603E+017",http://data.onb.ac.at/ABO/%2BZ183947905,Z183947905,"Murhard, Friedrich Wilhelm August ; http://d-nb.info/gnd/118785419",m,Gemälde von Konstantinopel,,Gemälde von Konstantinopel $ von Friedrich Murhard,[1],,Penig,Penig ; http://d-nb.info/gnd/4285495-7 .- Chemnitz ; http://d-nb.info/gnd/4029702-0,Chemnitz ; http://d-nb.info/gnd/4029702-0,bei Dienemann und Comp. ; gedruckt bei C. G. Kretschmar,Dienemann und Compagnie,"Kretschmar, Christian Gottfried ; http://d-nb.info/gnd/131605062",1804,1804,"X, 335 Seiten, 1 ungezählte Seite, 1 ungezähltes gefaltetes Blatt Bildtafel",1 Illustration,1,,8°,Die Illustration ist eine Kupferstich-Illustration als Frontispiz,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 397 ; Chatzipanagioti-Sangmeister, 0747","Seite [III]: Widmung an Alexander I., Zar von Russland. - Seite [V]-X: Vorwort des Verfassers, Datum Kassel 20.02.1804",,ger,,,,,,,,,,,"Murhard, Friedrich Wilhelm August ; http://d-nb.info/gnd/118785419",Aleksandr ; http://d-nb.info/gnd/118501852,,,,Konstantinopel ; Topografie ; Osmanisches Reich ; Konstantinopel ; Geschichte 1799 ; Reise ; Südosteuropa,TravelogueD19 Europa Asien ; TravelogueD19 Orient,,37.Mm.36.(Vol.1) PRUNK,ZALT,
AC11590096,AC11590096,"9,90044968400603E+017",http://data.onb.ac.at/ABO/%2BZ183948004,Z183948004,"Murhard, Friedrich Wilhelm August ; http://d-nb.info/gnd/118785419",m,Gemälde von Konstantinopel,,Gemälde von Konstantinopel $ von Fr. Murhard,Zweiter Band,,Penig und Leipzig,Penig ; http://d-nb.info/gnd/4285495-7 .- Leipzig ; http://d-nb.info/gnd/4035206-7 .- Chemnitz ; http://d-nb.info/gnd/4029702-0,Chemnitz ; http://d-nb.info/gnd/4029702-0,bei F. Dienemann und Comp. ; gedruckt bei C. G. Kretschmar,Dienemann und Compagnie,"Kretschmar, Christian Gottfried ; http://d-nb.info/gnd/131605062",1804,1804,"2 ungezählte Seiten, 459 Seiten, 1 ungezählte Seite",,,,8°,Kein illustrierender Inhalt,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 397 ; Chatzipanagioti-Sangmeister, 0747",,,ger,,,,,,,,,,,,,,,,Konstantinopel ; Topografie ; Osmanisches Reich ; Konstantinopel ; Geschichte 1799 ; Reise ; Südosteuropa,TravelogueD19 Asien Europa ; TravelogueD19 Orient,,37.Mm.36.(Vol.2) PRUNK,ZALT,
