Spalte1,Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC08421544,AC08421544,9958537669003338,http://data.onb.ac.at/ABO/%2BZ255404406,Z255404406,"Grandpré, Louis <<de>> ; http://d-nb.info/gnd/11755345X","Voyage à la côte occidentale d'Afrique, fait dans les années 1786 et 1787 ; 1801",Bibliothek der neuesten und wichtigsten Reisebeschreibungen zur Erweiterung der Erdkunde ; Fünfter Band,Reise nach der westlichen Küste von Africa in den Jahren 1786 und 1787 $ von L. Degrandepré. Aus dem Französischen übersetzt und mit Anmerkungen versehen von M. C. Sprengel,,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,,im Verlage des Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,,1801,1801,"2 ungezählte Seiten, XXI, 120 Seiten",,,,8°,Kein illustrierender Inhalt,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Griep, Reiseliteratur und Geographica, 0515",Seite [I]-XXI: Einleitung,,ger,fre,Aus dem Französischen übersetzt,,,,"Sprengel, Matthias Christian ; http://d-nb.info/gnd/117486701",,,,,,Reisebericht,,,"Reise ; Westafrika ; Schiffsreise ; Grandpré, Louis <<de>> ; Angola ; Königreich Kongo ; Geschichte 1786-1787",TravelogueD19 Afrika,,187672-B.5 MAG .- UNASSIGNED,ZKAR ; ZKAR,
AC08432929,AC08432929,9958733580103338,http://data.onb.ac.at/ABO/%2BZ176181002,Z176181002,"Dauxion Lavaysse, Jean ; http://d-nb.info/gnd/100851622","Voyage aux iles de Trinidad, de Tabago, de la Marguerite et dans diverses parties de Vénézuéla dans l'Amerique meridionale",Neue Bibliothek der wichtigsten Reisebeschreibungen zur Erweiterung der Erd- und Völkerkunde ; Fünfter Band,"Reise nach den Inseln Trinidad, Tabago und Margaretha, so wie in verschiedene Theile von Venezuela in Süd=America $ von J. J. Dauxion Lavayssé, correspondirendem Mitgliede der Gesellschaft der Wissenschaften, Litteratur und Kunst zu Bordeaux. Jn das Teutsche übersetzt und mit Noten begleitet von E. A. W. v. Zimmermann, Herzogl. Braunschw. geheimen Staatsrathe. Mit einer Charte",,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des Gr. H. S.  priv. Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1816,1816,"XXIV, 594 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,,1 Kupferstich-Karte. - Fußnoten ; Zierleisten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Sabin, 18672 ; Fromm, 6646 ; Engelmann, 103",Seote [V]-XXII: Vorrede,,ger,fre,Aus dem Französischen übersetzt,,,,"Zimmermann, Eberhard August Wilhelm <<von>> ; http://d-nb.info/gnd/11882435X",,,,,,Reisebericht ; Reisebericht,,,Reise ; Trinidad and Tobago ; Venezuela ; Geschichte 1805-1807 circa ; Landeskunde ; Venezuela ; Gschichte 1775-1807,TravelogueD19 Südamerika,,BE.3.R.65 PRUNK,ZALT,
AC08432906,AC08432906,9958733579803338,http://data.onb.ac.at/ABO/%2BZ175791702,Z175791702,"Flinders, Matthew ; http://d-nb.info/gnd/118691856",<<A>> voyage to Terra Australis ; http://viaf.org/viaf/5852147270472035700000,Neue Bibliothek der wichtigsten Reisebeschreibungen zur Erweiterung der Erd- und Völkerkunde ; Sechster Band,"Reise nach dem Austral=Lande, in der Absicht die Entdeckung desselben zu vollenden; $ unternommen in den Jahren 1801, 1802 und 1803 $ von Mathew Flinders. Aus dem Englischen von Ferdinand Götze. Mit einer Charte",,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1816,1816,"XXX, 740 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,,1 Kupferstich-Karte. - Fußnoten ; Zierleisten,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 103",Seite [III]-IV: Vorbericht des Übersetzers Johann August Ferdinand Götze. - Seite V-XVIII: Vorbericht des Verfassers,,ger,eng,Aus dem Englischen übersetzt,,,,"Götze, Johann August Ferdinand ; http://d-nb.info/gnd/10086502X",,,,,,Reisebericht,,,Reise ; Australien ; Ozeanien ; Geschichte 1801-1803,TravelogueD19 Ozeanien,,BE.3.R.59 PRUNK,ZALT,
AC08421239,AC08421239,9958537668703338,http://data.onb.ac.at/ABO/%2BZ255404509,Z255404509,"Sauer, Martin ; http://d-nb.info/gnd/100737803",<<An>> account of a geographical and astronomical Expedition to the northern Parts of Russia ; http://viaf.org/viaf/7579151965262200470003,Bibliothek der neuesten und wichtigsten Reisebeschreibungen zur Erweiterung der Erdkunde ; Achter Band,"Reise nach den Nördlichen Gegenden vom Russischen Asien und America unter dem Commodor Joseph Billings in den Jahren 1785 bis 1794 $ aus Original=Papieren verfasst von Martin Sauer, Secretär der Expedition. Aus dem Englischen übersetzt und mit Anmerkungen versehen von M. C. Sprengel",,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1803,1803,"2 ungezählte Seiten,XIV Seiten, 6 ungezählte Seiten, 296 Seiten, 1 ungezähltes mehrfach gefaltetes Blatt Karte, XIV, 188 Seiten, 1 ungezählte Seite, 1 ungezähltes mehrfach gefaltetes Blatt Karte",2 Karten,,2,8°,2 Kupferstich-Karten (Enthält informationen zur Reise),"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 225 ; Chatzipanagioti-Sangmeister, 0472",Seite [III]-XIV (zweite Zählung): Vorbericht von T. F. Ehrmann,,ger,eng,Aus dem Englischen übersetzt,,"Jackson, John ; http://d-nb.info/gnd/1055204377",,"Ehrmann, Theophil Friedrich ; http://d-nb.info/gnd/115368337 .- Sprengel, Matthias Christian ; http://d-nb.info/gnd/117486701",,,,,,Reisebericht,"<<John Jackson's, Esa.>> Tagebuch einer im Jahre 1797 unternommenen Landreise aus Ostindien nach Europa : auf einem weniger besuchten und wenig bekannten Wege, durch die asitische und europäische Türken, Siebenbürgen, Ungarn, Teutschland","Jackson, John ; Journey from India towards England, in the year 1797",Reise ; Russland ; Amerika ; Geschichte 1785 ; Reise ; Ostindien ; Europa ; Geschichte 1797,TravelogueD19 Asien Nordamerika Europa ; TravelogueD19 Orient,Zusammenstellung: ohne übergeordnetem Titel von mehreren Akteuren (Übersetzungen),187672-B.8 MAG .- UNASSIGNED,ZKAR ; ZKAR,
AC08432792,AC08432792,9958733579603338,http://data.onb.ac.at/ABO/%2BZ206550406,Z206550406,"Elphinstone, Mountstuart ; http://d-nb.info/gnd/124533450",Account of the Kingdom of Caubul ; http://viaf.org/viaf/129146462685827772144,Neue Bibliothek der wichtigsten Reisebeschreibungen zur Erweiterung der Erd- und Völkerkunde ; Neunter Band,"Geschichte der Englischen Gesandtschaft an den Hof von Kabul, im Jahre 1808, $ nebst ausführlichen Nachrichten über das Königreich Kabul, den dazu gehörigen Ländern und Völkerschaften $ von Mountstuart Elphinstone, ehemaligem Gesandten an den König von Kabul. Aus dem Englischen übersetzt, und mit Anmerkungen begleitet von Friedrich Rühs",Erster Band,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des Gr. H. S. pr.  Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1817,1817,"XVI, 508 Seiten",,,,8°,Kein illustrierender Inhalt,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Seite [V]-XIV: Einleitung, Datum Berlin 12.1816",,ger,eng,Aus dem Englischen übersetzt,,,,"Rühs, Friedrich ; http://d-nb.info/gnd/104359714",,,,,,Reisebericht,,,Gesandtschaft ; Großbritannien ; Kabul ; Königreich Kabul ; Geschichte 1808,TravelogueD19 Asien,,"415720-B.2,9 MAG",ZALT,
AC08432799,AC08432799,9958733579503338,http://data.onb.ac.at/ABO/%2BZ206550509,Z206550509,"Elphinstone, Mountstuart ; http://d-nb.info/gnd/124533450",Account of the Kingdom of Caubul ; http://viaf.org/viaf/129146462685827772144,Neue Bibliothek der wichtigsten Reisebeschreibungen zur Erweiterung der Erd- und Völkerkunde ; Zehnter Band,"Geschichte der Englischen Gesandtschaft an den Hof von Kabul, im Jahre 1808, $ nebst ausführlichen Nachrichten über das Königreich Kabul, den dazu gehörigen Ländern und Völkerschaften $ von Mountstuart Elphinstone, ehemaligem Gesandten an den König von Kabul. Aus dem Englischen übersetzt, und mit Anmerkungen begleitet von Friedrich Rühs",Zweiter Band ; Mit einer Charte,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des Gr. H. S. priv. Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1817,1817,"VIII, 572 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,,1 Kupferstich-Karte. - Zierleisten ; Fußnoten,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Seite [V]-VI: Vorrede, Datum Berlin 09.08.1817",,ger,eng,Aus dem Englischen übersetzt,,,,"Rühs, Friedrich ; http://d-nb.info/gnd/104359714",,,,,,Reisebericht,,,Gesandtschaft ; Großbritannien ; Kabul ; Königreich Kabul ; Geschichte 1808,TravelogueD19 Asien,,415720-B.2 MAG,ZALT,
AC08421083,AC08421083,9958541769103338,http://data.onb.ac.at/ABO/%2BZ255404601,Z255404601,"Barrow, John ; http://d-nb.info/gnd/117583065",Travels in China ; http://viaf.org/viaf/312514141,Bibliothek der neuesten und wichtigsten Reisebeschreibungen zur Erweiterung der Erdkunde ; Vierzehnter Band,"<<Johann Barrow's, Esq. vormaligen Privatsekretärs des Grafen von Macartney, jetzigen Sekretärs der Admiralität>> Reise durch China von Peking nach Canton im Gefolge der Großbrittannischen Gesandtschaft in den Jahren 1793 und 1794 $ Aus dem Englischen übersetzt und mit einigen Anmerkungen begleitet von Johann Christian Hüttner, Herausgeber der Englischen Miscellen, und Begleiter des Gesandtschafts=Sekretärs Sir Staunton auf der gedachten Gesandtschaftsreise nach China",Erster Theil ; Mit Kupfern,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des F. S. pr. Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1804,1804,"8 ungezählte Seiten, 428, 90 Seiten, V Blätter (zum Teil gefaltet), 2 ungezählte Blätter Bildtafeln, 1 ungezähltes mehrfach gefaltetes Blatt Karte","10 Illustrationen, 1 Karte, Notenbeispiele",10,1,8°,"Die Illustrationen umfassen 2 gestochene Porträts (gestochen von C. Westermeyr), 5 Holzschnitt-Illustrationen und Pläne,  3 Kupferstichillustrationen und 1 Karte, 7 Seiten mit Notenbeispielen","Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 101","Ungezählte Seite 5-6: Vorerinnerungen von T. F. Ehrmann, Datum Weimar 09.1804",,ger,eng,Aus dem Englischen übersetzt,,,"Ehrmann, Theophil Friedrich ; http://d-nb.info/gnd/115368337","Hüttner, Johann Christian ; http://d-nb.info/gnd/117053759",,,"Westermayr, Konrad ; http://d-nb.info/gnd/119430797",,,Reisebericht,,,Gesandtschaft ; Großbritannien ; China ; Geschichte 1793-1794,TravelogueD19 Asien ; TravelogueD19 Orient,,187672-B.14 MAG .- UNASSIGNED,ZKAR ; ZKAR,
AC08433262,AC08433262,9958733577603338,http://data.onb.ac.at/ABO/%2BZ175541205,Z175541205,"Brackenridge, Henry M. ; http://d-nb.info/gnd/100971865",Views of Louisiana ; http://viaf.org/viaf/3752152865737404940007,Neue Bibliothek der wichtigsten Reisebeschreibungen zur Erweiterung der Erd- und Völkerkunde ; Fünfzehnter Band Zweiter Theil,"Ansichten von Louisiana $ nebst einem Tagebuche einer, im Jahre 1811 den Missouri=Fluß aufwärts gemachten Reise $ von H. M. Brackenridge. Aus dem Englischen",,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des Gr. H. S. priv. Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1818,1818,"XI, 122 Seiten, 9 ungezählte Blätter","Illustrationen, Karten, Notenbeispiele",,,,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 206",Seite [III]-XI. Vorbericht an den Leser,,,ger,eng,Aus dem Englischen übersetzt,,,,,,,,,,Reisebericht,,,Reise ; USA ; Louisiana ; Mississippital ; Geschichte 1811,TravelogueD19 Nordamerika,,35.V.18 PRUNK,ZALT,
AC08433160,AC08433160,9958734578903338,http://data.onb.ac.at/ABO/%2BZ18359680X,Z18359680X,"Péron, François ; http://d-nb.info/gnd/118936530",Voyage de découvertes aux terres australes ; http://viaf.org/viaf/183025621,Neue Bibliothek der wichtigsten Reisebeschreibungen zur Erweiterung der Erd- und Völkerkunde ; Sechzehnter Band,"Entdeckungsreise nach Australien $ unternommen auf Befehl Sr. Maj. des Kaisers von Frankreich und Königs von Jtalien mit den Korvetten der Geograph und der Naturalist, und der Goelette Kasuarina in den Jahren 1800 bis 1804 $ Beschrieben von Fr. Aug. Peron, Naturforscher bei dieser Expedition, Correspondent des Jnstituts von Frankreich, Mitglied der Gesellschaft der Gesundheitsschule, der philomatischen und medicinischen Gesellschaft zu Paris. Fortgesetzt von Ludwig Freycinet, Fregattencapitän, Ritter des Ludwigordens, Mitglied der Ehrenlegion, Correspondent der Königl. Akademie der Wissenschaften zu Paris, der Societät der Wissenschaften und schönen Künste zu Rochefort, der philomatischen Gesellschaft zu Paris etc. Befehlshaber der Goëlette Casuarina während der Expedition. Aus dem Französischen übersetzt und mit einigen Anmerkungen versehen [von  T. F. Ehrmann]",Zweiter Theil ; den Schluß des Reiseberichts enthaltend,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des Gr. H. S. priv. Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1819,1819,"XL, VIII, 484 Seiten, 1 ungezähltes gefaltetes Blatt Karte",1 Karte,,1,,1 gefaltete Karte in Kupferstich,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 102 (F)","Seite I-VIII: Vorrede der Übersetzers. - Seite V-XXXI [i.e. 9-35]: Vorrede des Fortsetzers, Datum Paris 08.1816",Seitenzählung springt von VIII auf V,ger,fre,Aus dem Französischen übersetzt,,"Freycinet, Louis Claude Desaulses <<de>> ; http://d-nb.info/gnd/124760295",,"Ehrmann, Theophil Friedrich ; http://d-nb.info/gnd/115368337",,,,,,Reisebericht,,,Entdeckungsreise ; Australien ; Geschichte 1800-1804,TravelogueD19 Ozeanien,,*38.W.16.(Vol.2) PRUNK,ZALT,
AC13290198,AC13290198,9958535573903338,,,"La Pérouse, Jean-François de Galaup ; http://d-nb.info/gnd/11872651X",<<Le>> voyage de La Pérouse autour du monde,Magazin von merkwürdigen neuen Reisebeschreibungen ; Siebenzehnter Band,"<<La Perouse's>> Entdeckungsreise in den Jahren 1785, 1786, 1787 und 1788 $ herausgegeben von M. C. A. Milet Mureau. Aus dem Französischen übersetzt und mit Anmerkungen begleitet von J. R. Forster und C. L. Sprengel",Zweiter Band,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,,Jn der Vossischen Buchhandlung,Vossische Buchhandlung ; (DE-588)64386-5,,1800,1800,"VI, 448 Seiten, II Blätter Bildtafeln, 1 ungezähltes gefaltetes Blatt Karte","2 Illustrationen, 1 Karte",2,1,8°,"Die Illustrationen sind 2 Kupferstich-Illustrationen, 1 gestochene Karte",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ;,,,ger,fre,Aus dem Französischen übersetzt,,,"Milet-Mureau, Louis Marie Antoine Destouff <<de>> ; http://d-nb.info/gnd/102084203 .- Forster, Johann Reinhold ; http://d-nb.info/gnd/118534432 .- Sprengel, C. L.",,,,"Berger, D. ; http://d-nb.info/gnd/116130709 .- Sprögel, Ferdinand ; http://d-nb.info/gnd/1096486970",,,Reisebericht,,,Forschungsreise ; Geschichte 1785-1788 ; Weltreise ; Geschichte 1785-1788,TravelogueD19 Südamerika Ozeanien,,393869-B.17 MAG,ZKAR,
AC08432662,AC08432662,9958734579403338,http://data.onb.ac.at/ABO/%2BZ18407730X,Z18407730X,"Melish, John ; http://d-nb.info/gnd/136017568","Travels in the United States of America in 1806, 1807, 1809, 1810 and 1811","Neue Bibliothek der wichtigsten Reisebeschreibungen zur Erweiterung der Erd- und Völkerkunde ; Siebzehnter Band, Erster Theil","<<John Melish's>> Reisen durch die Vereinten=Staaten von America, in den Jahren 1806, 1807, 1809, 1810 und 1811 $ Aus dem Englischen, und mit Anmerkungen begleitet von J. Ernst Ludw. Brauns, ehemaligem Prediger der Teutschen evangel. luther. Gemeinden zu Pottsgrove, Amity und Eastnaatmill, und Mitgliede des Teutschen evangel. luther. Ministeriums von Pennsylvanien und den benachbarten Staaten. Mit Charten und Planen",,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des Gr. H. S. priv. Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1819,1819,"XVIII, 378 Seiten, 9 ungezählte Blätter",9 Karten,,9,,9 Kupferstich-Karten. - Einfache unverzierte Leisten ; Fußnoten,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Seite [V]-VI: Vorwort des Herausgebers. - Seite VII-X: Vorrede des Übersetzers Johann Ernst Ludwig Braun, Datum Göttingen 09.01.1819",,ger,eng,Aus dem Englischen übersetzt,,,,"Brauns, Ernst Ludwig ; http://d-nb.info/gnd/116429135",,,,,,Reisebericht,,,USA ; Reise ; Geschichte 1806-1811 ; Nordamerika,TravelogueD19 Nordamerika,,37.Y.44 PRUNK,ZALT,
AC08420995,AC08420995,9958541769003338,http://data.onb.ac.at/ABO/%2BZ255404704,Z255404704,"Percival, Robert ; http://d-nb.info/gnd/124956327",<<An>> account of the Cape of Good Hope ; 1804 ; http://viaf.org/viaf/761155105761876320003,Bibliothek der neuesten und wichtigsten Reisebeschreibungen zur Erweiterung der Erdkunde ; Achtzehnter Band,"<<Capt. Robert Percival' s, Verfassers einer Beschreibung von Ceylon>> Beschreibung des Vorgebirgs der guten Hoffnung $ nach seinem ehemaligen und jetzigen Zustande, in historischer, geographischer, topographischer, statistischer und kommerzieller Hinsicht $ Aus dem Englischen. Herausgegeben und mit einer Einleitung und Anmerkung begleitet von T. F. Ehrmann",,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des F. S. pr. Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1805,1805,"4 ungezählte Seiten, LXXXIV, 456 Seiten, VI, 112 Seiten",,,,8°,Kein illustrierender Inhalt. - Zierleisten im Text ; Fußnoten,"Bibliografischer Hinweis: Bibliografie Reiseliteratur Eutin ; Engelmann, 101 ; Kainbacher, Erforschung Afrikas, S. 349, 445",Seite III-VI: Vorerinnerung des Herausgebers. - Seite III-IV (zweite Zählung): Vorerinnerungen des Herausgebers,,ger,eng,Aus dem Englischen übersetzt,,"Semple, Robert ; http://d-nb.info/gnd/121232832","Ehrmann, Theophil Friedrich ; http://d-nb.info/gnd/115368337","Ehrmann, Theophil Friedrich ; http://d-nb.info/gnd/115368337",,,,,,Reisebericht,Robert Semple's Schilderungen von dem Vorgebirge der guten Hoffnung : und Spaziergänge und kleine Rsien auf demselben.,"Percival, Robert ; <<An>> account of the Cape of Good Hope .- Semple, Robert ; Walks and sketches at the Cape of Good Hope",China ; Kap der Guten Hoffnung ; Reise ; Geschichte 1795 ; Kap der Guten Hoffnung ; Reise ; Geschichte 1803 ca.,TravelogueD19 Afrika,Zusammenstellung: ohne übergeordnetem Titel von mehreren Akteuren (Übersetzungen),187672-B.18 MAG .- UNASSIGNED,ZKAR ; ZKAR,
AC08432707,AC08432707,9958734579203338,http://data.onb.ac.at/ABO/%2BZ168252401,Z168252401,"Nicholas, John Liddiard",Narrative of a voyage to New Zealand performed in the years 1814 and 1815,Neue Bibliothek der wichtigsten Reisebeschreibungen zur Erweiterung der Erd- und Völkerkunde ; Achtzehnter Band,"Reise nach und in Neuseeland in den Jahren 1814 und 1815 mit den, von Neuholland dahin reisenden, Missionarien gemacht $ von John Liddiard Nicholas",,,Weimar,Weimar ; http://d-nb.info/gnd/4065105-8,Weimar ; http://d-nb.info/gnd/4065105-8,im Verlage des Gr. H. S. priv. Landes=Jndustrie=Comptoirs,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,Landes-Industrie-Comptoir zu Weimar ; http://d-nb.info/gnd/501775-0,1819,1819,"XII, 500 Seiten, 1 ungezähltes Blatt Bildtafel, 1 ungezähltes gefaltetes Blatt Karte","1 Illustration, 1 Karte",1,1,,"1 Kupfer-Illustration (gestochen von Ant. Folger), 1 Karte in Kupferstich. - Fußnoten ; Tabellen",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Engelmann 240 ; Kooperativer Bibliotheksverbund Berlin Brandenburg,Seite V-XII: Inhaltsverzeichnis. - Die 1. selbständige Veröffentlichung über Neuseeland im deutschsprachigen Raum,,ger,eng,Aus dem Englischen übersetzt,,,,,,,"Falger, Anton ; http://d-nb.info/gnd/102463271",,,Reisebericht,,,Neuseeland ; Reise ; Geschichte 1814-1815,TravelogueD19 Ozeanien,,32.K.7 PRUNK,ZALT,
AC13290205,AC13290205,990057721010603338,http://data.onb.ac.at/ABO/%2BZ258872401,Z258872401,"Vancouver, George ; http://d-nb.info/gnd/119121581",<<A>> voyage of discovery to the North Pacific ocean,Magazin von merkwürdigen neuen Reisebeschreibungen ; Neunzehnter Band,"<<Georg Vancouvers>> Reisen nach dem nördlichem Theile der Südsee während der Jahre 1790 bis 1795 $ aus dem Englischen übersetzt und mit Anmerkungen begleitet von Joh. Friedr. Wilh. Herbst, Prediger an der St. Marienkirche zu Berlin, dirigirendem Mitgliede der Berlin. Gesellschaft naturforschender Freunde; ordentlichem Mitgliede der churfürstl. baierschen Akademie der Wissenschaften, der naturforschenden Gesellschaft zu Halle, der ökonomischen Gesellschaft zu Potsdam etc.",Zweiter Band ; welcher die zweite Hälfte des zweiten Bandes und den dritten Band vom Original enthält,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,,Jn der Vossischen Buchhandlung,Vossische Buchhandlung ; (DE-588)64386-5,,1800,1800,"VIII, 406 Seiten",,,,8°,Kein illustrierender Inhalt,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Vorlageform der Veröffentlichungsangabe: Berlin, 1800. Jn der Vossischen Buchhandlung.",,ger,eng,Aus dem Englischen übersetzt,,,,"Herbst, Johann Friedrich Wilhelm ; http://d-nb.info/gnd/136567495",,,,,,Reisebericht,,,Entdeckungsreise ; Ozeanien ; Nordamerika ; Weltreise ; Schiffsreise ; Geschichte 1790/1791-1795,TravelogueD19 Nordamerika,,393869-B.19 MAG,ZKAR,
AC13290212,AC13290212,9958525961603338,,,"Wilson, James ; http://d-nb.info/gnd/117581240","<<A>> missionary voyage to the Southern Pacific Ocean performed in the Years 1796, 97, 98 in the ship DUFF, commanded by Capt. James Wilson",Magazin von merkwürdigen neuen Reisebeschreibungen ; Ein und zwanzigster Band,"<<Wilsons, James,>> Missions=Reise in das südliche stille Meer, unternommen in den Jahren 1796, 1797, 1798 mit dem Schiffe Duff $ Aus dem Englischen übersetzt. Mit Anmerkungen von D. Canzler Professor in Greifswalde",,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,,Jn der Vossischen Buchhandlung,Vossische Buchhandlung ; (DE-588)64386-5,,1800 [1801],1801,"X, 526 Seiten , 3 ungezählte gefaltete Blätter","2 Illustrationen, 1 Karte",2,1,8°,"Die Illustrationen sind 2 Kupferstich-Illustrationen (gestochen von D. Berger), 1 Kupferstich-Karte (""Insel Otaheiti nach Capt. Cook's Entwurf"", gestochen von Carl Jättnig, Berlin 1801). - Einfache Zierleisten ; Fußnoten",,,,ger,eng,Aus dem Englischen übersetzt,,,,"Canzler, D.",,,"Berger, D. ; http://d-nb.info/gnd/116130709 .- Jättnig, Karl ; http://d-nb.info/gnd/131710796",,,Reisebericht,,,"Entdeckungsreise ; Schiffsreise ; Wilson, James ; Ozeanien ; Geschichte 1796-1798",TravelogueD19 Ozeanien,,393869-B.21 MAG,ZKAR,
