Systemnummer,MMS-ID,Volltext,Barcode,Verfasser ; GND-ID,Werktitel,Reihentitel ; Bandzählung,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe,Bandzählung ; Titel des Bandes,Ausgabe,Verlagsort,Verlagsort normiert ; GND-ID,Druckort normiert ; GND-ID,Verleger und Drucker,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Erscheinungsjahr Sortierform,Kollation,Illustrationen,Anzahl Illustrationen,Anzahl Karten,Illustrationen not dig,Foldouts,Foldouts not dig,Karten not dig,Kommentar,Format,Anm. zu Illustrationen,Bibliografie,Anmerkungen,Anm. zu Kollation,Sprache,Originalsprache,Bemerkung zur Sprache,Standardnummer,Weitere Verfasser ; GND-ID,Herausgeber ; GND-ID,Übersetzer ; GND-ID,Beiträger ; GND-ID,Weitere Beteiligte ; GND-ID,Illustratoren ; GND-ID,Widmender ; GND-ID,Widmungsempfänger ; GND-ID,Art des Inhalts,Inhalt,Werke in Relation,Schlagworte,Marker,Zusammenstellung,Signatur,Standort,VD17
AC15245801,9958530072103338,"http://data.onb.ac.at/ABO/%2BZ198357405;
http://data.onb.ac.at/ABO/%2BZ98085900;
http://data.onb.ac.at/ABO/%2BZ164418308","Z198357405;
Z98085900;
Z164418308","Cook, James ; http://d-nb.info/gnd/118522027","Account of a voyage round the world, in the years 1768, 1769, 1770 and 1771",Sammlung der besten Reisebeschreibungen ; Siebenter Band,"Reise um die Welt $ des Lieutenants J. Cook Befehlshaber des englischen Schiffs der Endeavour in den Jahren 1768, 1769, 1770, 1771",[1],,Troppau,Troppau ; http://d-nb.info/gnd/4061019-6,Troppau ; http://d-nb.info/gnd/4061019-6,"gedruckt bei Joseph Georg Traßler, und im Verlage der Kompagnie","Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143","Traßler, Joseph Georg ; http://d-nb.info/gnd/129262358",1785,1785,380 Seiten,,,,0,0,0,0,0,8°,Kein illustrierender Inhalt. - Zierleisten im Text ; Fußnoten,Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin. - Der Titel ist der Seite 3 entnommen,,,ger,eng,Aus dem Englischen übersetzt,,,,,,,,,,Reisebericht,,,Entdeckungsreise ; Weltreise ; Geschichte 1768-1771,TravelogueD18 Südamerika Ozeanien Asien,,214905-A.7 MAG .- 265006-A.7 MAG .- 251353-A.7 MAG .- 214905-A UNASSIGNED,ZALT ; ZFID ; ZFID ; ZALT,
AC15245804,9958530071803338,"http://data.onb.ac.at/ABO/%2BZ198357508;
http://data.onb.ac.at/ABO/%2BZ9808600X;
http://data.onb.ac.at/ABO/%2BZ164418400","Z198357508;
Z9808600X;
Z164418400","Cook, James ; http://d-nb.info/gnd/118522027","Account of a voyage round the world, in the years 1768, 1769, 1770 and 1771",Sammlung der besten Reisebeschreibungen ; Achter Band,"Reise um die Welt $ des Lieutenants J. Cook Befehlshaber des englischen Schiffs der Endeavour in den Jahren 1768, 1769, 1770, 1771",Fortsetzung [das heißt 2],,Troppau,Troppau ; http://d-nb.info/gnd/4061019-6,Troppau ; http://d-nb.info/gnd/4061019-6,"gedruckt bei Joseph Georg Traßler, und im Verlage der Kompagnie","Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143","Traßler, Joseph Georg ; http://d-nb.info/gnd/129262358",1785,1785,652 Seiten,,,,0,0,0,0,0,8°,Kein illustrierender Inhalt. - 1 Diagramm ; Zierleisten im Text ; Fußnoten,Bibliografischer Nachweis: . - Der Titel ist der Seite 3 entnommen,,,ger,eng,Aus dem Englischen übersetzt,,,,,,,,,,Reisebericht,,,Entdeckungsreise ; Weltreise ; Geschichte 1768-1771,TravelogueD18 Südamerika Ozeanien Asien,,214905-A.8 MAG .- 265006-A.8 MAG .- 251353-A.8 MAG .- 214905-A UNASSIGNED,ZALT ; ZFID ; ZFID ; ZALT,
AC15245807,9958530071703338,"http://data.onb.ac.at/ABO/%2BZ98086102;
http://data.onb.ac.at/ABO/%2BZ164418503;
http://data.onb.ac.at/ABO/%2BZ198357600","Z98086102;
Z164418503;
Z198357600","Cook, James ; http://d-nb.info/gnd/118522027","Account of a voyage round the world, in the years 1768, 1769, 1770 and 1771",Sammlung der besten Reisebeschreibungen ; Neunter Band,"Reise um die Welt $ des Lieutenants J. Cook Befehlshaber des englischen Schiffs der Endeavour in den Jahren 1768, 1769, 1770, 1771",Fortsetzung [das heißt 3],,Troppau,Troppau ; http://d-nb.info/gnd/4061019-6,Troppau ; http://d-nb.info/gnd/4061019-6,"gedruckt bei Joseph Georg Traßler, und im Verlage der Kompagnie","Schrämbl, Franz Anton ; http://d-nb.info/gnd/117025143","Traßler, Joseph Georg ; http://d-nb.info/gnd/129262358",1785,1785,350 Seiten,,,,0,0,0,0,0,8°,Kein illustrierender Inhalt. - Zierleisten im Text ; Fußnoten,Bibliografischer Nachweis:  Bibliografie Reiseliteratur Eutin. - Der Titel ist der Seite 3 entnommen,,,ger,eng,Aus dem Englischen übersetzt,,,,,,,,,,Reisebericht,,,Entdeckungsreise ; Weltreise ; Geschichte 1768-1771,TravelogueD18 Südamerika Asien Ozeanien,,214905-A.9 MAG .- 251353-A.9 MAG .- 265006-A.9 MAG .- 214905-A UNASSIGNED,ZALT ; ZFID ; ZFID ; ZALT,
AC15243941,9958529668003338,"http://data.onb.ac.at/ABO/%2BZ186306406;
http://data.onb.ac.at/ABO/%2BZ164139407","Z186306406;
Z164139407","Coxe, William ; http://d-nb.info/gnd/117710873","Travels into Poland, Russia, Sweden, and Denmark ; 1784-1790 ; http://viaf.org/viaf/179779725",,"Reise durch Polen, Rußland, Schweden und Dänemark $ Mit historischen Nachrichten, und politischen Bemerkungen begleitet $ Von Wilhelm Coxe, Mitglied der Königl. Kollegium zu Kambridge, und Kaplan des Herzogs von Marlborough. Aus dem Englischen, von J. Pezzl",Erster Band ; Mit Kupfern,,Zürich,Zürich ; http://d-nb.info/gnd/4068038-1,Zürich ; http://d-nb.info/gnd/4068038-1,"bey Orell, Geßner, Füßlin und Kompagnie","Orell, Geßner, Füßli & Cie. ; http://d-nb.info/gnd/5190670-3","Orell, Geßner, Füßli & Cie. ; http://d-nb.info/gnd/5190670-3",1785,1785,"VIII, 430 Seiten, 4 ungezählte Seiten, 1 ungezähltes Blatt Bildtafel, 2 ungezählte gefaltete Blätter Karten","2 Illustrationen, 2 Karten",2,2,0,2,2,2,0,4°,"Die Illustrationen sind 2 Kupferstich-Karten, 1 Kupferstichillustration und 1 illustrierender Titelkupfer. - Fußnoten ;",Bibliografischer Nachweis: Engelmann 252 ; Bibliografie Reiseliteratur Eutin,"Seite III: Widmung des Übersetzers Johann Pezzl an Ignaz Edlen von Born. - Seite V-VI: Vorrede des Verfassers. - Sete VII-VIII: Vorbericht des Übersetzers J. Pezzl, Datum Wien 30.11.1784",,ger,eng,Aus dem Englischen übersetzt,,,,"Pezzl, Johann ; http://d-nb.info/gnd/118883313",,,,"Pezzl, Johann ; http://d-nb.info/gnd/118883313","Born, Ignaz <<von>> ; http://d-nb.info/gnd/118661868",Reisebericht,,,Dänemark ; Reise ; Polen ; Reise ; Russland ; Schweden ; Geschichte 1778-1780,TravelogueD18 Europa,,76.B.4.(Vol.1) PRUNK .- 265784-C.1 MAG,ZALT ; ZFID,
AC13069605,9958532479703338,,,,,,"Sammlung der besten und neuesten Reisebeschreibungen in einem ausführlichen Auszuge $ worinnen eine genaue Nachricht von der Religion, Regierungsverfassung, Handlung, Sitten, natürlichen Geschichte und andern merkwürdigen Dingen verschiedner Länder und Völker gegeben wird ; Aus dem Engländischen übersetzt ; Mit vielen nützlichen Kupfern $ [herausgegeben von Johann Friedrich Zückert]",Fünf und zwanzigster Band Erster Band ; Neue Sammlung der besten und neuesten Reisebeschreibungen,,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,,verlegts August Mylius,"Mylius, August ; http://d-nb.info/gnd/138422230 .- August Mylius ; http://d-nb.info/gnd/5164056-9",,1785,1785,"8 ungezählte Seiten, 437 Seiten, 4 Blätter Bildtafeln, 1 ungezähltes gefaltetes Blatt Karte","1 Karte, 4 Illustrationen",4,1,4,1,1,1,nicht digitalisiert,8°,"Die Illustrationen umfassen 4 Kupferstichillustrationen und eine gestochene Karte (Geographische Karte Vom Vorgebirge Der Guten Hoffnung, Datum 1779). - Holzschnitt-Vignetten auf den Titelblättern,","Bibliografischer Nachweis: Griep, Reiseliteratur und Geographica, 1223 (Reihe) ; Bibliografie Reiseliteratur Eutin. - Enthält zwei bearbeitete Reiseberichte im Auszug",Vorbericht der Verleger,,ger,fre,Enthält Expression von aus dem Französischen übersetztem Werk,,"Sonnerat, Pierre ; http://d-nb.info/gnd/11763784X .- Sparrman, Anders ; http://d-nb.info/gnd/124759289","Zückert, Johann Friedrich",,,,,,,Reisebericht,,"Sonnerat, Pierre ; Voyage aux Indes orientales et à la Chine .- Sparrman, Anders ; Resa till Goda Hopps-udden, Södra Pol-kretsen och omkring jordklotet, samt till Hottentot-och Caffer-Landen, åren 1772-76","Forschungsreise ; Sonnerat, Pierre ; Ostindien ; China ; Geschichte 1774-1781 ; Weltreise ; Sparrman, Anders ; Forschungsreise ; Afrika ; Geschichte 1772-1776",TravelogueD18 Asien Afrika,Zusammenstellung: mit übergeordnetem Titel von mehreren Akteuren (Auszüge),231592-B.25 MAG .- 231.592-B.Kar UNASSIGNED,ZKAR ; ZKAR,
AC15533848,9958578461803338,http://data.onb.ac.at/ABO/%2BZ168278104,Z168278104,"Archenholz, Johann Wilhelm <<von>> ; http://d-nb.info/gnd/118503839",England und Italien,,"England und Jtalien $ von J. W. Archenholtz, vormals Hauptmann in K. Preuß. Diensten",Ersten Bandes Zweiter Theil ; England,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,im Verlage der Dykischen Buchhandlung,Dycksche Buchhandlung ; http://d-nb.info/gnd/6147579-8,,1785,1785,"2 ungezählte Seiten, Seiten 275-597",1 Illustration,1,,0,0,0,0,0,8°,Die Illustration ist 1 illustrierender Titelkupfer (signiert Christian Gottlieb Geyser),"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Versuch, 128 ; Tresoldi, 49 (Andere Ausgabe)",,,ger,,,,,,,,,"Geyser, Christian Gottlieb ; http://d-nb.info/gnd/11661451X",,,Reisebericht,,,England ; Landeskunde ; Reise ; England ; Geschichte 1769-1779,TravelogueD18 Europa,,,,
AC15533839,9958578461903338,http://data.onb.ac.at/ABO/%2BZ168278104,Z168278104,"Archenholz, Johann Wilhelm <<von>> ; http://d-nb.info/gnd/118503839",England und Italien,,"England und Jtalien $ von J. W. Archenholtz, vormals Hauptmann in K. Preuß Diensten",Ersten Bandes Erster Theil ; England,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,im Verlage der Dykischen Buchhandlung,Dycksche Buchhandlung ; http://d-nb.info/gnd/6147579-8,,1785,1785,"XVI, 273 Seiten",1 Illustration,1,,0,0,0,0,0,8°,Die Illustration ist 1 illustrierender Titelkupfer (signiert von Christian Gottlieb Geyser),"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Versuch, 128 ; Tresoldi, 49 (Andere Ausgabe)","Seite [V]-[VIII]: Widmungsvorrede des Verfassers an Christoph Martin Wieland, Datum Leipzig 15.04.1785. - Seite [IX]-X: Vorbericht",,ger,,,,,,,,,"Geyser, Christian Gottlieb ; http://d-nb.info/gnd/11661451X","Archenholz, Johann Wilhelm <<von>> ; http://d-nb.info/gnd/118503839","Wieland, Christoph Martin ; http://d-nb.info/gnd/118632477",Reisebericht,,,England ; Landeskunde ; Reise ; England ; Geschichte 1769-1779,TravelogueD18 Europa,,"*31.E.39.(Vol.1,1.2) PRUNK",ZALT,
AC15533819,9958578462003338,http://data.onb.ac.at/ABO/%2BZ168278207,Z168278207,"Archenholz, Johann Wilhelm <<von>> ; http://d-nb.info/gnd/118503839",England und Italien,,"England und Jtalien $ von J. W. Archenholtz, vormals Hauptmann in K. Preuß. Diensten",Zweiter Band ; Jtalien,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,im Verlage der Dykischen Buchhandlung,Dycksche Buchhandlung ; http://d-nb.info/gnd/6147579-8,,1785,1785,"8 ungezählte Seiten, 377 Seiten",1 Illustration,1,,0,0,0,0,0,8°,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Versuch, 128 ; Tresoldi, 49 (Andere Ausgabe)",Die Illustration ist 1 illustrierender Titelkupfer (signiert von Christian Gottlieb Keyser),,,ger,,,,,,,,,"Geyser, Christian Gottlieb ; http://d-nb.info/gnd/11661451X",,,Reisebericht,,,Italien ; Landeskunde ; Reise ; Italien ; Geschichte 1775 1779-1780,TravelogueD18 Europa,,*31.E.39.(Vol.2) PRUNK,ZALT,
AC08184287,9958603775303338,http://data.onb.ac.at/ABO/%2BZ205632701,Z205632701,"Arnold, ... ; http://d-nb.info/gnd/100860346",,,Reise nach Mariazell in Steyermark $ Mit einer illuminirten Platte $ von Arnold,,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,gedruckt und verlegt bey Christian Friederich Wappler,"Wappler, Christian Friedrich ; http://d-nb.info/gnd/138062188","Wappler, Christian Friedrich ; http://d-nb.info/gnd/138062188",1785,1785,"24 Seiten, 1 ungezähltes mehrfach gefaltetes Blatt Bildtafel",1 Illustration,1,,1,1,1,0,0,4°,Die Illustration ist 1 Kupferstichillustration (signiert J. Kibler) - Holzschnitt-Vignette auf Seite 3 und am Ende,"Bibliografischer Nachweis: VD18 10622225 ; Bibliografie Reiseliteratur Eutin ; KVK, BSB München",,,ger,,,VD18 10622225,,,,,,"Kibler, Ignaz",,,Führer,,,Mariazell ; Reise ; Geschichte 1785 circa,TravelogueD18 Europa,,175227-B MAG,ZALT,VD18 10622225
AC09885891,990030428670603338,,,"Garnier, Franz Xavier ; http://d-nb.info/gnd/1169777864",,,"Nachricht von der im Jahre 1758. von Herrn Felix Berner errichteten jungen Schauspieler=Gesellschaft, von den bis jetzt gethanenen Reisen, von der Aufnahme und dem Zuwachse derselben, einigen Anhängen, und vielen am Ende beigefügten Silhouettes von Schauspielern und Schauspielerinnen dieser Gesellschaft. $ Mit Bewilligung und Beitrag des Herrn Berner $ F.X. Garnier einem Zögling desselben im Jahr 1786.",,,Wien,Wien ; http://d-nb.info/gnd/4066009-6,Wien ; http://d-nb.info/gnd/4066009-6,"gedruckt bei Johann Joseph Jahn, Universitäts=Buchdrucker","Jahn, Johann Josef ; http://d-nb.info/gnd/1037499913","Jahn, Johann Josef ; http://d-nb.info/gnd/1037499913",1786,1786,"48 Seiten, 29 ungezählte Blätter Bildtafeln",31 Illustrationen,31,,22,0,0,0,Illustrationen fehlen im Original,8°,"Die Illustrationen sind 1 Kupferstich-Illustration als Frontispiz, 1 Kupferstich-Porträt des Verfassers Felix Berner (gestochen von H. Sintzenich, Datum 1781), 29 Kupferstich-Illustrationen. - Holzschnitt-Vignetten ; Initialen. - Das Kupferstich-Porträt des Verfassers ist in Teilen der Auflage in schwarzer Farbe gedruckt, in Teilen in roter Farbe",Bibliografischer Nachweis:,"Vorlageform der Veröffentlichungsangabe auf dem Titelblatt: Wien, gedruckt bei Johann Joseph Jahn, Universitäts=Buchdrucker auf dem alten Bauernmarkte im Gundelhof ro 534 im ersten Stock. 1786.",,ger,,,,,,,,,"Nilson, J. J.",,,,,,Reise ; Schauspieler ; Geschichte 1758-1784 ; Österreich ; Böhmen ; Ungarn ; Süddeutschland ; Schweiz ; Südtirol ; Bern ; Verein ; Schauspieler,TravelogueD18 Europa,,MF 5067 MIK .- *28.M.102 PRUNK,ZNEU ; ZALT,
AC10177432,990033406000603338,http://data.onb.ac.at/ABO/%2BZ116262609,Z116262609,"Pagès, Pierre Marie François <<de>> ; http://d-nb.info/gnd/1016937091",Voyage autour du monde et vers les deux pôles par terre et par mer ; 1782,,"<<Herrn de Pages Königl. Französischen Schifskapitains, Ritters vom St. Ludwigsorden Korrespondenten der Akademie der Wissenschaften zu Paris>> Reisen um die Welt und nach den beiden Polen zu Lande und zur See in den Jahren 1767, 1768, 1769, 1770, 1771, 1773, 1774 und 1776 $ Aus dem Französischen übersetzt. Mit 7 Karten",,,Frankfurt und Leipzig,Frankfurt am Main ; http://d-nb.info/gnd/4018118-2 .- Leipzig ; http://d-nb.info/gnd/4035206-7,,bei Johann Georg Fleischer,"Fleischer, Johann Georg ; http://d-nb.info/gnd/136000126",,1786,1786,"32 ungezählte Seiten, 716 Seiten, 1 ungezählte Seite, 1 ungezähltes mehrfach gefaltetes Blatt Karte, 7 ungezählte gefaltete Blätter","1 Illustration, 7 Karten",1,7,7,7,7,7,0,8°,Die Illustrationen umfassen 7 Kupferstich-Karten und 1 Titelkupfer,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; Holzmann-Bohatta III, 8091 ; Fromm 19509 ; VD18 11360925","Ungezählte Seite 3-4: Schreiben des Verfassers an den Grafen von C., Datum St. Domingo 10.05.1750","Signaturformel: *4, **8, ***4, A-Z8, Aa-Zz8, [2]",ger,fre,Aus dem Französischen übersetzt,VD18 11360925,,,"Schneidler, Gottlob Lorenz ; http://d-nb.info/gnd/115887326",,,"Burucker, Johann Michael ; http://d-nb.info/gnd/1016938268",,,Reisebericht,,,Weltreise ; Ostindien ; Nordamerika ; Philippinen ; Java ; Geschichte 1767-1771 ; Weltreise ; Indischer Ozean ; Arabien ; Naher Osten ; Geschichte 1773-1776 ; Osmanisches Reich,TravelogueD18 Asien Afrika Nordamerika ; TravelogueD18 Orient,,251659-B MAG,ZFID,VD18 11360925
AC10293629,990034592970603338,http://data.onb.ac.at/ABO/%2BZ258447404,Z258447404,"Schmieder, Heinrich Gottlieb ; http://d-nb.info/gnd/115594361",,,"Über Reise=Nachbetereien und Naturauftritte $ Bemerkungen auf einer Reise nach Erfurt, Gotha, Weimar, Jena, Naumburg, Weissenfels, Laupstädt, Halle, Leipzig $ [Heinrich Gottlieb Schmieder]",,,Halle,Halle (Saale) ; http://d-nb.info/gnd/4023025-9,Halle (Saale) ; http://d-nb.info/gnd/4023025-9,bey Johann Christian Hendel,"Hendel, Johann Christian ; http://d-nb.info/gnd/116700645","Hendel, Johann Christian ; http://d-nb.info/gnd/116700645",1786,1786,"2 ungezählte Seiten, 77 Seiten, 1 ungezählte Seite",,,,0,0,0,0,0,8°,Zusätzlicher Titel mit illustrierendem Holzschnitt-Rahmen. - Holzschnitt-Vignetten und Zierleisten im Text,"Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin ; VD18 10374043. - Anonym erschienen, Verfasser bibliografisch ermittelt",Am Ende 1 ungezählte Seite Verlagsprogramm,,ger,,,VD18 10374043,,,,,,,,,Reisebericht,,,Deutschland ; Reise ; Geschichte 1785 circa,TravelogueD18 Europa,,624445-A MAG,ZTHE,VD18 10374043
AC10425756,990035941700603338,http://data.onb.ac.at/ABO/%2BZ16174190X,Z16174190X,"Schulz, Friedrich ; http://d-nb.info/gnd/100316875",,,Kleine Wanderungen durch Teutschland $ [Friedrich Schulz],,,Berlin [Basel?],Basel ; http://d-nb.info/gnd/4004617-5,Basel ; http://d-nb.info/gnd/4004617-5,[Johann Jacob Flick],"Flick, Johann Jacob ; http://d-nb.info/gnd/1037501144","Flick, Johann Jacob ; http://d-nb.info/gnd/1037501144",1786,1786,"220 Seiten, 4 ungezählte Seiten",1 Illustration,1,,0,0,0,0,0,8°,Die Illustration ist 1 illustrierender Titelkupfer. - Holzschnitt-Vignetten im Text,"Bibliografischer Nachweis: Holzmann & Bohatta, IV, 11602 ; VD18 1170778X. - Anonym erschienen, Verfasser und vermutlicher Verlagsort bibliografisch ermittelt: Fingierter Druckort nach Weller I, 133 als Basel aufgelöst. - Verfasser ermittelt nach Holzmann & Bohatta",Signaturformel: A-O8,,ger,,,VD18 1170778X,,,,,,,,,Erlebnisbericht,,,Deutschland ; Reise ; Geschichte 1786 circa,TravelogueD18 Europa,,254307-A MAG,ZFID,VD18 1170778X
AC10426674,990035951100603338,http://data.onb.ac.at/ABO/%2BZ160872700,Z160872700,"Wartmann, Bernhard ; http://d-nb.info/gnd/120630974",,,Bemerkungen von dem Wildkirchlein oder St. Michaels=Kapell und Eben=Alp in der Canton Appenzell. Mit einem illuminirten Kupfer,,,St. Gallen,Sankt Gallen ; http://d-nb.info/gnd/4051594-1,,in Commission bey Reutiner jünger,Reutinerische Buchhandlung ; http://d-nb.info/gnd/1072929481,,1786,1786,"2 ungezählte Seiten, 46 Seiten, 1 ungezähltes gefaltetes Blatt Bildtafel",1 Illustration,1,,1,1,1,0,0,8°,1 Illustration in Aquatinta-Radierung. - Holzschnitt-Vignetten,"Bibliografischer Nachweis: VD18 10630082. - Anonym erschienen, Verfasser bibliografisch ermittelt nach VD18",,,ger,,,VD18 10630082,,,,,,,,,,,,Ebenalp (Säntis) ; Wildkirchli,TravelogueD18 Europa,,9808-A MAG,ZALT,VD18 10630082
AC07779392,9958526871903338,http://data.onb.ac.at/ABO/%2BZ155522909,Z155522909,"Storr, Gottlieb Konrad Christian ; http://d-nb.info/gnd/120711575",Alpenreise vom Jahre 1781,,Alpenreise vom Jahre 1781 $ G. K. Ch. Storr,Zweiter Theil,,Leipzig,Leipzig ; http://d-nb.info/gnd/4035206-7,,in der Johann Gottfrid Müllerischen Buchhandlung,Johann Gottfried Müllersche Buchhandlung ; http://d-nb.info/gnd/1048655970,,1786,1786,"40 ungezählte Seiten, 290 Seiten, 4 ungezählte Seiten, Blätter IV - VII",4 Illustrationen,4,,4,4,4,0,0,4°,Die Illustrationen sind 4 Kupferstichillustrationen. - Fußnoten,Bibliografischer Nachweis: Engelmann 283 ; Bibliografie Reiseliteratur Eutin,"Ungezählte Seite 3-8: Vorrede des Verfassers Gottlieb Konrad Christian Storr, Datum 04.1786",,ger,,,,,,,,,,,,Reisebericht ; Erlebnisbericht,,,Alpen ; Reise ; Schwäbische Alb ; Schweiz ; Geschichte 1781,TravelogueD18 Europa,,*48.Q.28.(Vol.2) PRUNK,ZALT,
AC10457848,990036268310603338,"http://data.onb.ac.at/ABO/%2BZ183863400;
http://data.onb.ac.at/ABO/%2BZ16285550X","Z183863400;
Z16285550X","Zapf, Georg W. ; http://d-nb.info/gnd/119079615",,,"<<Georg Wilhelm Zapf Hochfürstl. Hohenlohe= und Waldenburg Schillingsfürstlichen Hofraths, auch verschiedener gelehrten Akademien und Gesellschaften Mitglieds>> Reisen in einige Klöster Schwabens, durch den Schwarzwald und in die Schweiz. Jm Jahr 1781 $ Worinn von Bibliotheken, Alterthümern, Geschichte und vom Zustand der Litteratur überhaupt Nachricht gegeben wird. Mit 13. Kupfertafeln",,,Erlangen,Erlangen ; http://d-nb.info/gnd/4015299-6,,bey Johann Jakob Palm,"Palm, Johann Jakob ; http://d-nb.info/gnd/118840541",,1786,1786,"12 ungezählte Seiten, 260 Seiten, 8 gefaltete ungezählte Blätter Bildtafeln, 5 ungezählte Blätter Bildtafeln","9 Illustrationen, Schriftbeispiele",9,,0,8,0,0,in einem Exemplar digitalisiert,4°,"Die Illustrationen umfassen 1 gestochenes Porträt, 8 Kupferstichillustrationen und Schriftbeispiele (Faksimiles). - Holzschnitt-Vignette auf dem Titelblatt und im Text ; Fußnoten",Bibliografischer Nachweis: Bibliografie Reiseliteratur Eutin,"Ungezählte Seite 3-8: Widmungsvorrede des Verfassers an Beat Fidel Anton Johann Dominikus Freiherrn von la Tour-Chatillon-Zur-Lauben, Datum Augsburg 16.02.1786",,ger,,,,,,,,,,"Zapf, Georg W. ; http://d-nb.info/gnd/119079615","Zurlauben, Beat Fidel ; http://d-nb.info/gnd/11863738X",,,"Zapf, Georg Wilhelm ; <<Georg Wilhelm Zapf Fürstl. Hohenlohe und Waldenburg=Schillingsfürstischen Hofraths etc.>> literarische Reisen, durch einen Theil von Baiern, Franken, Schwaben und der Schweiz in den Jahren 1780. 1781. und 1782.; Jn einigen Briefen an meine Freunde",Kloster ; Schwaben ; Kloster ; Schweiz ; Forschungsreise ; Schwaben ; Schweiz ; Geschichte 1781,TravelogueD18 Europa,,38.T.3 PRUNK .- 265403-C MAG .- UNASSIGNED,ZALT ; ZFID ; ZALT,
AC12061748,990046356650603338,"http://data.onb.ac.at/ABO/%2BZ197445207;
http://data.onb.ac.at/ABO/%2BZ98089504;
http://data.onb.ac.at/ABO/%2BZ231658008","Z197445207;
Z98089504;
Z231658008","Nicolai, Friedrich ; http://d-nb.info/gnd/118587668",Beschreibung einer Reise durch Deutschland und die Schweiz im Jahre 1781 ; (DE-588)4227109-5,,"Beschreibung einer Reise durch Deutschland und die Schweiz, im Jahre 1781. $ Nebst Bemerkungen über Gelehrsamkeit, Jndustrie, Religion und Sitten $ von Friedrich Nicolai",Siebenter Band,,Berlin und Stettin,Berlin ; http://d-nb.info/gnd/4005728-8 .- Stettin ; http://d-nb.info/gnd/4057392-8,,[Friedrich Nicolai],"Nicolai, Friedrich ; http://d-nb.info/gnd/118587668 .- Friedrich Nicolai ; http://d-nb.info/gnd/5164057-0",,1786,1786,"XL, 168, 64, 189 Seiten, 1 ungezählte Seite",1 Illustration,1,,0,0,0,0,0,8°,"Die Illustration ist 1 Illustration (gestochen von Franz Heissig, Ausgburg). - Tabellen ; Fußnoten","Bibliografischer Nachweis: VD18 90267818 ; Griep, Reiseliteratur und Geographica, 1006 ; Bibliographie Reiseliteratur Eutin",,,ger,,,,,,,"Blumauer, Alois ; http://d-nb.info/gnd/118511963",,"Heissig, Franz Carl ; http://d-nb.info/gnd/129113530",,,Reisebericht,,,Deutschland ; Reise ; Schweiz ; Geschichte 1781,TravelogueD18 Europa,,620577-B.7 MAG .- BE.5.X.2.(Vol.7) PRUNK .- 264326-B.7 MAG .- UNASSIGNED .- BE.5.X.2.(Vol.3) PRUNK,ZTHE ; ZALT ; ZFID ; ZFID ; ZALT,
AC13017116,990048821930603338,http://data.onb.ac.at/ABO/%2BZ222104709,Z222104709,"Savary, Claude ; http://d-nb.info/gnd/100405924",Lettres sur l'Égypte ; 1785-1786,,"Zustand des alten und neuen Egyptens in Ansehung seiner Einwohner, der Handlung, des Ackerbaues, der politischen Verfassung [et]c. $ Aus dem Französischen des Herrn Savary. Mit Zusätzen und Verbesserungen von Johann Gottlob Schneider, Professor zu Frankfurt an der Oder. Mit einem Kupfer und einer Landkarte",[1],,Berlin,Berlin ; http://d-nb.info/gnd/4005728-8,Berlin ; http://d-nb.info/gnd/4005728-8,bey Johann Friedrich Unger,"Unger, Johann Friedrich Gottlieb ; http://d-nb.info/gnd/11729327X","Unger, Johann Friedrich Gottlieb ; http://d-nb.info/gnd/11729327X",1786,1786,"VIII, 344 Seiten, 2 ungezählte gefaltete Blätter","1 Illustration, 1 Karte",1,1,1,2,0,0,0,8°,Die Illustrationen umfassen 1 Kupferstich-Karte und 1 Kupferstich-illustration. - Holzschnitt-Vignetten im Text ; Fußnoten,"Bibliografischer Nachweis. Griep, Reiseliteratur und Geographica, 1230 ; Bibliografie Reiseliteratur Eutin ; Engelmann 169 ; Holzmann-Bohatta IV, 746 ; Chatzipanagioti-Sangmeister, 0950 ; Stuck I, 2921",Seite III-VIII: Vorrede,,ger,fre,Aus dem Französischen übersetzt,,,,,,,"Gürsch, Carl Friedrich ; http://d-nb.info/gnd/130385468",,,Briefsammlung ; Reisebericht,,,Ägypten ; Forschungsreise ; Geschichte 1777 ; Ägypten ; Landeskunde,TravelogueD18 Afrika ; TravelogueD18 Orient,,29.V.17.(Vol.1) PRUNK,ZALT,
